Num1,Num2,Num3,Num4,Num5,PowerBall,PowerPlay
17,4,43,5,52,5,2
17,4,58,68,57,12,3
17,5,64,41,69,1,2
17,8,9,41,5,21,4
17,16,42,41,29,4,3
17,21,14,27,18,9,2
17,22,21,19,51,19,2
17,26,32,4,49,10,2
17,31,28,32,39,26,3
17,34,46,67,66,14,2
17,35,45,5,23,24,10
17,38,20,9,40,18,2
17,46,22,30,56,16,3
17,47,55,50,40,6,2
17,60,56,61,34,9,2
17,64,52,1,58,1,10
17,68,19,43,39,13,4
18,1,51,15,26,26,4
18,6,36,2,37,21,2
18,12,29,20,30,16,3
18,17,39,64,56,12,3
18,23,2,61,1,9,2
18,27,45,28,19,9,3
18,27,65,49,69,9,2
18,33,37,50,16,8,2
18,37,44,64,50,11,3
18,39,44,33,27,8,5
18,43,13,8,27,15,4
18,43,48,60,69,14,3
18,47,31,43,36,20,2
18,49,66,17,59,9,2
18,50,52,56,20,20,2
18,51,14,34,10,26,2
18,54,61,13,37,5,2
18,56,30,35,52,5,2
18,61,12,39,20,10,2
18,62,66,68,28,22,2
19,7,68,53,11,23,2
19,13,39,59,36,13,3
19,18,24,34,2,3,3
19,20,59,40,42,15,3
19,29,21,11,52,17,4
19,34,50,44,29,25,2
19,39,37,61,20,8,2
19,42,21,7,69,12,2
19,45,35,29,36,16,2
19,47,68,60,43,10,2
19,50,65,21,37,26,2
19,55,68,66,21,3,2
19,59,37,6,49,22,3
19,62,50,30,27,14,3
20,3,42,36,64,4,2
20,8,27,52,17,24,2
20,10,22,52,9,25,3
20,10,65,23,49,22,3
20,11,33,39,65,24,3
20,15,31,40,29,1,2
20,16,10,57,9,15,2
20,16,43,64,22,17,2
20,17,12,21,26,8,3
20,19,1,38,54,17,2
20,23,9,14,63,1,3
20,31,56,64,60,2,3
20,32,3,33,13,21,3
20,40,63,13,51,1,3
20,41,57,14,5,6,3
20,50,47,63,24,5,2
20,54,61,56,64,7,4
20,61,64,1,69,20,2
21,1,17,12,58,1,3
21,4,11,64,38,11,3
21,7,11,61,53,2,3
21,7,39,47,55,19,2
21,12,62,69,67,17,3
21,17,37,44,19,16,2
21,19,47,27,46,7,4
21,20,65,36,60,13,10
21,22,30,12,33,24,4
21,22,34,1,47,4,2
21,25,10,23,8,22,3
21,27,67,48,32,17,2
21,28,32,49,44,6,3
21,33,62,39,14,20,2
21,35,10,6,46,23,2
21,37,44,63,14,1,3
21,45,17,37,19,14,2
21,49,44,42,12,1,3
21,60,47,1,16,5,3
21,62,34,8,2,16,2
21,63,30,43,10,17,2
22,5,21,29,43,10,2
22,8,32,4,58,4,10
22,9,41,61,47,21,2
22,11,23,5,69,7,2
22,11,53,21,10,18,3
22,11,60,2,35,23,2
22,15,49,5,8,25,3
22,20,21,54,41,7,3
22,23,47,63,36,2,2
22,32,21,12,29,21,2
22,53,27,67,1,15,3
22,56,2,45,32,12,5
22,57,42,64,44,18,2
22,65,18,50,7,15,2
22,68,9,67,57,14,3
23,2,16,63,4,13,3
23,9,68,49,47,19,2
23,27,47,18,2,15,4
23,28,66,27,26,11,2
23,30,46,4,62,2,4
23,37,32,58,3,22,2
23,37,64,44,25,7,4
23,42,68,52,11,6,3
23,45,53,4,50,17,3
23,45,54,35,18,16,4
23,50,18,40,5,18,3
23,55,33,22,29,21,2
23,57,32,18,3,21,2
23,57,42,31,50,5,3
23,59,31,3,21,3,2
23,63,32,38,17,23,2
23,63,62,66,22,24,2
24,7,32,23,43,18,2
24,18,6,3,14,21,3
24,19,7,8,28,1,2
24,20,12,5,29,4,2
24,22,23,62,45,5,2
24,26,57,39,47,23,2
24,30,18,21,60,20,3
24,41,31,26,7,25,2
24,42,29,44,63,10,4
24,50,46,44,51,13,3
24,52,40,22,64,10,2
24,54,7,60,36,23,2
24,54,44,47,29,2,2
24,55,52,61,8,21,3
24,55,69,21,33,3,10
24,56,19,40,42,23,2
24,56,50,11,66,16,2
24,61,43,16,28,21,2
24,63,35,57,17,19,3
